Model,Top-1,Top-5,Hashtag,Training Command,Training Log
ResNext50_32x4d [12]_,79.32,94.53,4ecf62e2,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/classification/imagenet/resnext50_32x4d.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/classification/imagenet/resnext50_32x4d.log>`_
ResNext101_32x4d [12]_,80.37,95.06,8654ca5d,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/classification/imagenet/resnext101_32x4d.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/classification/imagenet/resnext101_32x4d.log>`_
ResNext101_64x4d_v1 [12]_,80.69,95.17,2f0d1c9d,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/classification/imagenet/resnext101_64x4d.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/classification/imagenet/resnext101_64x4d.log>`_
SE_ResNext50_32x4d [12]_ [14]_,79.95,94.93,7906e0e1,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/classification/imagenet/se_resnext50_32x4d.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/classification/imagenet/se_resnext50_32x4d.log>`_
SE_ResNext101_32x4d [12]_ [14]_,80.91,95.39,688e2389,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/classification/imagenet/se_resnext101_32x4d.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/classification/imagenet/se_resnext101_32x4d.log>`_
SE_ResNext101_64x4d [12]_ [14]_,81.01,95.32,11c50114,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/classification/imagenet/se_resnext101_64x4d.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/classification/imagenet/se_resnext101_64x4d.log>`_
