Model,Top-1,Top-5,Hashtag,Training Command,Training Log
ResNeSt14 [17]_,75.75,92.70,7e0b0cae,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/classification/imagenet/resnest14.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/classification/imagenet/resnest14.log>`_
ResNeSt26 [17]_,78.68,94.38,36459074,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/classification/imagenet/resnest26.sh>`_,
ResNeSt50 [17]_,81.04,95.42,bcfefe1d,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/classification/imagenet/resnest50.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/classification/imagenet/resnest50.log>`_
ResNeSt101 [17]_,82.83,96.42,5da943b3,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/classification/imagenet/resnest101.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/classification/imagenet/resnest101.log>`_
ResNeSt200 [17]_,83.86,96.86,0c5d117d,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/classification/imagenet/resnest200.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/classification/imagenet/resnest200.log>`_
ResNeSt269 [17]_,84.53,96.98,11ae7f5d,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/classification/imagenet/resnest269.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/classification/imagenet/resnest269.log>`_
