Name,Pretrained,Segments,Clip Length,Top-1,Hashtag,Train Command,Train Log
resnet50_v1b_hmdb51 [3]_,ImageNet,3,1,55.2,682591e2,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/hmdb51/resnet50_v1b_hmdb51_tsn.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/hmdb51/resnet50_v1b_hmdb51_tsn.log>`_
resnet50_v1b_hmdb51 [1]_,ImageNet,1,1,52.2,ba66ee4b,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/hmdb51/resnet50_v1b_hmdb51.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/hmdb51/resnet50_v1b_hmdb51.log>`_
i3d_resnet50_v1_hmdb51 [4]_,ImageNet,1,32 (64/2),48.5,0d0ad559,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/hmdb51/i3d_resnet50_v1_hmdb51.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/hmdb51/i3d_resnet50_v1_hmdb51.log>`_
i3d_resnet50_v1_hmdb51 [4]_,"ImageNet, K400",1,32 (64/2),70.9,2ec6bf01,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/hmdb51/i3d_resnet50_v1_hmdb51_kinetics400.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/hmdb51/i3d_resnet50_v1_hmdb51_kinetics400.log>`_
