Model,Box AP,Training Command,Training Log
yolo3_darknet53_coco [3]_ :gray:`(320x320)`,33.6/54.1/35.8,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/detection/yolo3_darknet53_coco.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/detection/yolo3_darknet53_coco_train.log>`_
yolo3_darknet53_coco [3]_ :gray:`(416x416)`,36.0/57.2/38.7,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/detection/yolo3_darknet53_coco.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/detection/yolo3_darknet53_coco_train.log>`_
yolo3_darknet53_coco [3]_ :gray:`(608x608)`,37.0/58.2/40.1,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/detection/yolo3_darknet53_coco.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/detection/yolo3_darknet53_coco_train.log>`_
yolo3_mobilenet1.0_coco [3]_ :gray:`(320x320)`,26.7/46.1/27.5,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/detection/yolo3_mobilenet1.0_coco.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/detection/yolo3_mobilenet1.0_coco.log>`_
yolo3_mobilenet1.0_coco [3]_ :gray:`(416x416)`,28.6/48.9/29.9,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/detection/yolo3_mobilenet1.0_coco.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/detection/yolo3_mobilenet1.0_coco.log>`_
yolo3_mobilenet1.0_coco [3]_ :gray:`(608x608)`,28.0/49.8/27.8,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/detection/yolo3_mobilenet1.0_coco.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/detection/yolo3_mobilenet1.0_coco.log>`_
