Model,mAP(Orig/F),Training Command,Training log
center_net_resnet18_v1b_voc [6]_,66.8/69.5,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/detection/center_net_resnet18_v1b_voc.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/detection/center_net_resnet18_v1b_voc_train.log>`_
center_net_resnet18_v1b_dcnv2_voc [6]_,71.2/74.7,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/detection/center_net_resnet18_v1b_dcnv2_voc.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/detection/center_net_resnet18_v1b_dcnv2_voc_train.log>`_
center_net_resnet50_v1b_voc [6]_,71.8/76.1,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/detection/center_net_resnet50_v1b_voc.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/detection/center_net_resnet50_v1b_voc_train.log>`_
center_net_resnet50_v1b_dcnv2_voc [6]_,75.6/78.7,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/detection/center_net_resnet50_v1b_dcnv2_voc.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/detection/center_net_resnet50_v1b_dcnv2_voc_train.log>`_
center_net_resnet101_v1b_voc [6]_,75.5/78.2,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/detection/center_net_resnet101_v1b_voc.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/detection/center_net_resnet101_v1b_voc_train.log>`_
center_net_resnet101_v1b_dcnv2_voc [6]_,76.7/79.2,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/detection/center_net_resnet101_v1b_dcnv2_voc.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/detection/center_net_resnet101_v1b_dcnv2_voc_train.log>`_
